 Scotland,S,57,9 N,2,9 W
 Australia,A,34,55 S,138,36 E
 Algeria,A,36,50 N,3,0 E
 Netherlands,N,52,22 N,4,53 E
 Turkey,T,39,55 N,32,55 E
 Paraguay,P,25,15 S,57,40 W
 Greece,G,37,58 N,23,43 E
 New Zealand,N,36,52 S,174,45 E
 Thailand,T,13,45 N,100,30 E
 Spain,S,41,23 N,2,9 E
 China,C,39,55 N,116,25 E
 Brazil,B,1,28 S,48,29 W
 Northern Ireland,N,54,37 N,5,56 W
 Serbia,S,44,52 N,20,32 E
 Germany,G,52,30 N,13,25 E
 England,E,52,25 N,1,55 W
 Colombia,C,4,32 N,74,15 W
 India,I,19,0 N,72,48 E
 France,F,44,50 N,0,31 W
 Germany,G,53,5 N,8,49 E
 Australia,A,27,29 S,153,8 E
 England,E,51,28 N,2,35 W
 Belgium,B,50,52 N,4,22 E
 Romania,R,44,25 N,26,7 E
 Hungary,H,47,30 N,19,5 E
 Argentina,A,34,35 S,58,22 W
 Egypt,E,30,2 N,31,21 E
 India,I,22,34 N,88,24 E
 China,C,23,7 N,113,15 E
 South Africa,S,33,55 S,18,22 E
 Venezuela,V,10,28 N,67,2 W
 French Guiana,F,4,49 N,52,18 W
 Mexico,M,28,37 N,106,5 W
 China,C,29,46 N,106,34 E
 Denmark,D,55,40 N,12,34 E
 Argentina,A,31,28 S,64,10 W
 Senegal,S,14,40 N,17,28 W
 Australia,A,12,28 S,130,51 E
 Djibouti,D,11,30 N,43,3 E
 Ireland,I,53,20 N,6,15 W
 South Africa,S,29,53 S,30,53 E
 Scotland,S,55,55 N,3,10 W
 Germany,G,50,7 N,8,41 E
 Guyana,G,6,45 N,58,15 W
 Scotland,S,55,50 N,4,15 W
 Guatemala,G,14,37 N,90,31 W
 Ecuador,E,2,10 S,79,56 W
 Germany,G,53,33 N,10,2 E
 Norway,N,70,38 N,23,38 E
 Cuba,C,23,8 N,82,23 W
 Finland,F,60,10 N,25,0 E
 Tasmania,T,42,52 S,147,19 E
 China,C,22,20 N,114,11 E
 Chile,C,20,10 S,70,7 W
 Russia,R,52,30 N,104,20 E
 Indonesia,I,6,16 S,106,48 E
 South Africa,S,26,12 S,28,4 E
 Jamaica,J,17,59 N,76,49 W
 Congo,C,4,18 S,15,17 E
 Malaysia,M,3,8 N,101,42 E
 Bolivia,B,16,27 S,68,22 W
 England,E,53,45 N,1,30 W
 Peru,P,12,0 S,77,2 W
 Portugal,P,38,44 N,9,9 W
 England,E,53,25 N,3,0 W
 England,E,51,32 N,0,5 W
 France,F,45,45 N,4,50 E
 Spain,S,40,26 N,3,42 W
 England,E,53,30 N,2,15 W
 Philippines,P,14,35 N,120,57 E
 France,F,43,20 N,5,20 E
 Mexico,M,23,12 N,106,25 W
 Saudi Arabia,S,21,29 N,39,45 E
 Australia,A,37,47 S,144,58 E
 Mexico,M,19,26 N,99,7 W
 Italy,I,45,27 N,9,10 E
 Uruguay,U,34,53 S,56,10 W
 Russia,R,55,45 N,37,36 E
 Germany,G,48,8 N,11,35 E
 Japan,J,32,48 N,129,57 E
 Japan,J,35,7 N,136,56 E
 Kenya,K,1,25 S,36,55 E
 China,C,32,3 N,118,53 E
 Italy,I,40,50 N,14,15 E
 India,I,28,35 N,77,12 E
 England,E,54,58 N,1,37 W
 Ukraine,U,46,27 N,30,48 E
 Japan,J,34,32 N,135,30 E
 Norway,N,59,57 N,10,42 E
 Panama,P,8,58 N,79,32 W
 Suriname,S,5,45 N,55,15 W
 France,F,48,48 N,2,20 E
 Australia,A,31,57 S,115,52 E
 England,E,50,25 N,4,5 W
 Papua New Guinea,P,9,25 S,147,8 E
 Czech Republic,C,50,5 N,14,26 E
 Myanmar,M,16,50 N,96,0 E
 Iceland,I,64,4 N,21,58 W
 Brazil,B,22,57 S,43,12 W
 Italy,I,41,54 N,12,27 E
 Brazil,B,12,56 S,38,27 W
 Chile,C,33,28 S,70,45 W
 Russia,R,59,56 N,30,18 E
 Brazil,B,23,31 S,46,31 W
 China,C,31,10 N,121,28 E
 Singapore,S,1,14 N,103,55 E
 Bulgaria,B,42,40 N,23,20 E
 Sweden,S,59,17 N,18,3 E
 Australia,A,34,0 S,151,0 E
 Madagascar,M,18,50 S,47,33 E
 Iran,I,35,45 N,51,45 E
 Japan,J,35,40 N,139,45 E
 Libya,L,32,57 N,13,12 E
 Italy,I,45,26 N,12,20 E
 Mexico,M,19,10 N,96,10 W
 Austria,A,48,14 N,16,20 E
 Russia,R,43,10 N,132,0 E
 Poland,P,52,14 N,21,0 E
 New Zealand,N,41,17 S,174,47 E
 Switzerland,S,47,21 N,8,31 E
